column,dtype,non_null_count,null_count,null_pct,unique_count,duplicate_count,cardinality_pct
NIVEL,String,108841,0,0.0,3,108838,0.0
SECTOR,String,108841,0,0.0,33,108808,0.03
ENTIDAD,String,108841,0,0.0,1970,106871,1.81
CODIGO_UNICO,Int64,105394,3447,3.17,105395,0,100.0
CODIGO_SNIP,Int64,108841,0,0.0,108841,0,100.0
NOMBRE_INVERSION,String,108841,0,0.0,108832,9,99.99
ESTADO,String,108841,0,0.0,1,108840,0.0
SITUACION,String,108841,0,0.0,2,108839,0.0
MONTO_VIABLE,Float64,108841,0,0.0,97312,11529,89.41
COSTO_ACTUALIZADO,Float64,108841,0,0.0,99343,9498,91.27
CONTROL_CONCURR,Float64,108841,0,0.0,537,108304,0.49
MONTO_LAUDO,Float64,108841,0,0.0,252,108589,0.23
MONTO_FIANZA,Float64,108841,0,0.0,26,108815,0.02
FECHA_REGISTRO,String,108841,0,0.0,7635,101206,7.01
FECHA_VIABILIDAD,String,108841,0,0.0,7150,101691,6.57
FUNCION,String,108841,0,0.0,32,108809,0.03
PROGRAMA,String,108841,0,0.0,85,108756,0.08
SUBPROGRAMA,String,108841,0,0.0,221,108620,0.2
MARCO,String,108841,0,0.0,2,108839,0.0
TIPO_INVERSION,String,108841,0,0.0,8,108833,0.01
NOM_OPMI,String,108841,0,0.0,1784,107057,1.64
NOM_UF,String,108841,0,0.0,3849,104992,3.54
NOM_UEI,String,108841,0,0.0,2935,105906,2.7
RESPONSABLE_UEI,String,108841,0,0.0,8918,99923,8.19
SEC_EJEC,Int64,108834,7,0.01,2660,106174,2.44
NOM_UEP,String,108841,0,0.0,2593,106248,2.38
EXPEDIENTE_TECNICO,String,108841,0,0.0,2,108839,0.0
INFORME_CIERRE,String,108841,0,0.0,2,108839,0.0
FEC_CIERRE,String,108841,0,0.0,87607,21234,80.49
DES_CIERRE,String,108841,0,0.0,5,108836,0.0
TIENE_F9,String,108841,0,0.0,2,108839,0.0
FEC_REG_F9,String,108841,0,0.0,84720,24121,77.84
CULMINADA,String,108841,0,0.0,3,108838,0.0
INICIO_EJEC_FISICA,String,108841,0,0.0,6780,102061,6.23
CULMINA_EJEC_FISICA,String,108841,0,0.0,6538,102303,6.01
ETAPA_F9,String,108841,0,0.0,3,108838,0.0
FEC_INI_OPER,String,108841,0,0.0,6024,102817,5.53
PRIMER_DEVENGADO,String,108841,0,0.0,268,108573,0.25
ULTIMO_DEVENGADO,String,108841,0,0.0,268,108573,0.25
DEVEN_ACUMULADO,Float64,108841,0,0.0,84002,24839,77.18
TIENE_F8,String,108841,0,0.0,2,108839,0.0
TIENE_F12B,String,108841,0,0.0,2,108839,0.0
DES_TIPOLOGIA,String,108841,0,0.0,229,108612,0.21
DES_MODALIDAD,String,108841,0,0.0,50,108791,0.05
TOTAL_LIQUIDACION,String,108841,0,0.0,43877,64964,40.31
FEC_LIQUIDACION,String,108841,0,0.0,7629,101212,7.01
UNIDAD_OPE_MANT,String,108841,0,0.0,26512,82329,24.36
FUENTE_FINANCIAMIENTO,String,108841,0,0.0,7,108834,0.01
FEC_TRANSFERENCIA,String,108841,0,0.0,5698,103143,5.24
BENEFICIARIO,String,108841,0,0.0,13792,95049,12.67
DEPARTAMENTO,String,108841,0,0.0,27,108814,0.02
PROVINCIA,String,108841,0,0.0,198,108643,0.18
DISTRITO,String,108841,0,0.0,1734,107107,1.59
UBIGEO,Int64,108804,37,0.03,2071,106733,1.9
LATITUD,Float64,108658,183,0.17,26080,82578,24.0
LONGITUD,Float64,108659,182,0.17,26111,82548,24.03
ANIO_PROCESO,Int64,108841,0,0.0,1,108840,0.0
