column,dtype,non_null_count,null_count,null_pct,unique_count,duplicate_count,cardinality_pct
NIVEL,String,260422,0,0.0,3,260419,0.0
SECTOR,String,260422,0,0.0,36,260386,0.01
ENTIDAD,String,260422,0,0.0,2035,258387,0.78
CODIGO_UNICO,Int64,260355,67,0.03,260355,0,100.0
CODIGO_SNIP,Int64,260422,0,0.0,260421,1,100.0
NOMBRE_INVERSION,String,260422,0,0.0,260417,5,100.0
NOMBRE_OPMI,String,260422,0,0.0,1862,258560,0.71
NOMBRE_UF,String,260422,0,0.0,4517,255905,1.73
NOMBRE_UEI,String,260422,0,0.0,3329,257093,1.28
SEC_EJEC,Int64,260410,12,0.0,2691,257719,1.03
NOMBRE_UEP,String,260422,0,0.0,2684,257738,1.03
ESTADO,String,260422,0,0.0,1,260421,0.0
SITUACION,String,260422,0,0.0,3,260419,0.0
MONTO_VIABLE,Float64,260184,238,0.09,244186,15998,93.85
COSTO_ACTUALIZADO,Float64,260422,0,0.0,247629,12793,95.09
CTRL_CONCURR,Float64,260422,0,0.0,11705,248717,4.49
MONTO_LAUDO,Float64,260422,0,0.0,1330,259092,0.51
MONTO_FIANZA,Float64,260422,0,0.0,161,260261,0.06
ALTERNATIVA,String,260422,0,0.0,190174,70248,73.03
FECHA_REGISTRO,String,260422,0,0.0,8070,252352,3.1
FECHA_VIABILIDAD,String,260422,0,0.0,7693,252729,2.95
FUNCION,String,260422,0,0.0,34,260388,0.01
PROGRAMA,String,260422,0,0.0,86,260336,0.03
SUBPROGRAMA,String,260422,0,0.0,229,260193,0.09
MARCO,String,260422,0,0.0,2,260420,0.0
TIPO_INVERSION,String,260422,0,0.0,15,260407,0.01
DES_MODALIDAD,String,260422,0,0.0,147,260275,0.06
REGISTRADO_PMI,String,260422,0,0.0,2,260420,0.0
PMI_ANIO_1,String,260422,0,0.0,31253,229169,12.0
PMI_ANIO_2,String,260422,0,0.0,14855,245567,5.7
PMI_ANIO_3,String,260422,0,0.0,8463,251959,3.25
PMI_ANIO_4,String,260422,0,0.0,5889,254533,2.26
EXPEDIENTE_TECNICO,String,260422,0,0.0,2,260420,0.0
INFORME_CIERRE,String,260422,0,0.0,2,260420,0.0
TIENE_F9,String,260422,0,0.0,2,260420,0.0
FEC_REG_F9,String,260422,0,0.0,14622,245800,5.61
ETAPA_F9,String,260422,0,0.0,3,260419,0.0
PRIMER_DEVENGADO,String,260422,0,0.0,269,260153,0.1
ULTIMO_DEVENGADO,String,260422,0,0.0,266,260156,0.1
DEVEN_ACUMUL_ANIO_ANT,Float64,260422,0,0.0,155705,104717,59.79
DEV_ANIO_ACTUAL,Float64,260422,0,0.0,14844,245578,5.7
PIA_ANIO_ACTUAL,String,260422,0,0.0,9507,250915,3.65
PIM_ANIO_ACTUAL,Int64,260422,0,0.0,26936,233486,10.34
CERTIF_ANIO_ACTUAL,String,260422,0,0.0,20844,239578,8.0
COMPROM_ANUAL_ANIO_ACTUAL,String,260422,0,0.0,16857,243565,6.47
SALDO_EJECUTAR,Float64,260422,0,0.0,233710,26712,89.74
TIENE_F8,String,260422,0,0.0,2,260420,0.0
ETAPA_F8,String,260422,0,0.0,5,260417,0.0
TIENE_F12B,String,260422,0,0.0,2,260420,0.0
TIENE_AVAN_FISICO,String,260422,0,0.0,2,260420,0.0
AVANCE_FISICO,String,260422,0,0.0,8864,251558,3.4
AVANCE_EJECUCION,String,260422,0,0.0,9419,251003,3.62
ULT_FEC_DECLA_ESTIM,String,260422,0,0.0,84953,175469,32.62
DES_TIPOLOGIA,String,260422,0,0.0,249,260173,0.1
IND_IOARR_EMERG,String,260422,0,0.0,2,260420,0.0
DEPARTAMENTO,String,260422,0,0.0,27,260395,0.01
PROVINCIA,String,260422,0,0.0,198,260224,0.08
DISTRITO,String,260422,0,0.0,1739,258683,0.67
UBIGEO,String,260422,0,0.0,2105,258317,0.81
LATITUD,String,260422,0,0.0,133990,126432,51.45
LONGITUD,String,260422,0,0.0,134328,126094,51.58
FEC_INI_EJECUCION,String,260422,0,0.0,6183,254239,2.37
FEC_FIN_EJECUCION,String,260422,0,0.0,6219,254203,2.39
FEC_INI_EJEC_FISICA,String,260422,0,0.0,6046,254376,2.32
FEC_FIN_EJEC_FISICA,String,260422,0,0.0,7418,253004,2.85
NUM_HABITANTES_BENEF,String,260422,0,0.0,22355,238067,8.58
MONTO_ET_F8,String,260422,0,0.0,147194,113228,56.52
ANIO_PROCESO,Int64,260422,0,0.0,1,260421,0.0
