column,dtype,non_null_count,null_count,null_pct,unique_count,duplicate_count,cardinality_pct
CODIGO_UNICO,Int64,213214,0,0.0,213214,0,100.0
NOMBRE_INVERSION,String,213214,0,0.0,212630,584,99.73
ESTADO,String,213214,0,0.0,5,213209,0.0
PRIMER_DEVENGADO,String,213214,0,0.0,269,212945,0.13
ULTIMO_DEVENGADO,String,213214,0,0.0,259,212955,0.12
DEVENGADO_ACUMULADO,String,213214,0,0.0,128273,84941,60.16
DEV_AÑO_ACTUAL,Float64,213214,0,0.0,14931,198283,7.0
PIM_AÑO_ACTUAL,Float64,213214,0,0.0,26247,186967,12.31
FECHA_ULT_ACT_F12B,String,213214,0,0.0,194208,19006,91.09
ULT_PERIODO_REG_F12B,String,213214,0,0.0,227,212987,0.11
AVANCE_FISICO,String,213214,0,0.0,9235,203979,4.33
ULT_ESTADO_SITUACIONAL,String,213214,0,0.0,167705,45509,78.66
ULT_PROBLEMA,String,213214,0,0.0,59923,153291,28.1
ACC_PROBLEMA,String,213214,0,0.0,69458,143756,32.58
ULT_FEC_DECLA_ESTIM,String,213214,0,0.0,114223,98991,53.57
AVANCE_EJECUCION,String,213214,0,0.0,9689,203525,4.54
DEV_ENE_AÑO_VIG,String,213214,0,0.0,3698,209516,1.73
DEV_FEB_AÑO_VIG,String,213214,0,0.0,8013,205201,3.76
DEV_MAR_AÑO_VIG,String,213214,0,0.0,10386,202828,4.87
DEV_ABR_AÑO_VIG,String,213214,0,0.0,10038,203176,4.71
DEV_MAY_AÑO_VIG,String,213214,0,0.0,2,213212,0.0
DEV_JUN_AÑO_VIG,String,213214,0,0.0,2,213212,0.0
DEV_JUL_AÑO_VIG,String,213214,0,0.0,2,213212,0.0
DEV_AGO_AÑO_VIG,String,213214,0,0.0,2,213212,0.0
DEV_SET_AÑO_VIG,String,213214,0,0.0,2,213212,0.0
DEV_OCT_AÑO_VIG,String,213214,0,0.0,2,213212,0.0
DEV_NOV_AÑO_VIG,String,213214,0,0.0,2,213212,0.0
DEV_DIC_AÑO_VIG,String,213214,0,0.0,2,213212,0.0
MONTO_ACTUALIZADO_1,String,213214,0,0.0,4344,208870,2.04
MONTO_ACTUALIZADO_2,String,213214,0,0.0,8151,205063,3.82
MONTO_ACTUALIZADO_3,String,213214,0,0.0,11293,201921,5.3
MONTO_ACTUALIZADO_4,String,213214,0,0.0,13543,199671,6.35
MONTO_ACTUALIZADO_5,String,213214,0,0.0,13930,199284,6.53
MONTO_ACTUALIZADO_6,String,213214,0,0.0,13109,200105,6.15
MONTO_ACTUALIZADO_7,String,213214,0,0.0,11816,201398,5.54
MONTO_ACTUALIZADO_8,String,213214,0,0.0,10267,202947,4.82
MONTO_ACTUALIZADO_9,String,213214,0,0.0,9006,204208,4.22
MONTO_ACTUALIZADO_10,String,213214,0,0.0,7740,205474,3.63
MONTO_ACTUALIZADO_11,String,213214,0,0.0,6995,206219,3.28
MONTO_ACTUALIZADO_12,String,213214,0,0.0,10054,203160,4.72
MONTO_PROGRAMADO_1,String,213214,0,0.0,2,213212,0.0
MONTO_PROGRAMADO_2,String,213214,0,0.0,2,213212,0.0
MONTO_PROGRAMADO_3,String,213214,0,0.0,2,213212,0.0
MONTO_PROGRAMADO_4,String,213214,0,0.0,2,213212,0.0
MONTO_PROGRAMADO_5,String,213214,0,0.0,2,213212,0.0
MONTO_PROGRAMADO_6,String,213214,0,0.0,2,213212,0.0
MONTO_PROGRAMADO_7,String,213214,0,0.0,2,213212,0.0
MONTO_PROGRAMADO_8,String,213214,0,0.0,2,213212,0.0
MONTO_PROGRAMADO_9,String,213214,0,0.0,2,213212,0.0
MONTO_PROGRAMADO_10,String,213214,0,0.0,2,213212,0.0
MONTO_PROGRAMADO_11,String,213214,0,0.0,2,213212,0.0
MONTO_PROGRAMADO_12,String,213214,0,0.0,2,213212,0.0
INICIO_EJEC_FISICA,String,213214,0,0.0,11182,202032,5.24
CULMINA_EJEC_FISICA,String,213214,0,0.0,12534,200680,5.88
